Symbol,Name,% Holding,Fund
MMM,3M Company,3.32%,XLI
GE,General Electric Company,3.27%,XLI
DE,Deere & Company,3.18%,XLI
LMT,Lockheed Martin Corp,2.74%,XLI
CSX,CSX Corp,2.66%,XLI
NSC,Norfolk Southern Corp,2.31%,XLI
ITW,Illinois Tool Works Inc,2.27%,XLI
ETN,Eaton Corp,2.17%,XLI
WM,Waste Management,2.07%,XLI
FDX,Fedex Corp,1.89%,XLI
NOC,Northrop Grumman Corp,1.84%,XLI
JCI,Johnson Controls Intl,1.81%,XLI
EMR,Emerson Electric Company,1.81%,XLI
INFO,IHS Markit Ltd,1.72%,XLI
ROP,Roper Industries,1.65%,XLI
TT,Trane Technologies Plc,1.55%,XLI
GD,General Dynamics Corp,1.54%,XLI
CARR,Carrier Global Corp,1.51%,XLI
LHX,L3Harris Technologies Inc,1.36%,XLI
ROK,Rockwell Automation Inc,1.30%,XLI
PH,Parker-Hannifin Corp,1.30%,XLI
CTAS,Cintas Corp,1.28%,XLI
VRSK,Verisk Analytics Inc,1.19%,XLI
OTIS,Otis Worldwide Corp,1.19%,XLI
FAST,Fastenal Company,1.17%,XLI
EFX,Equifax Inc,1.14%,XLI
AME,Amtek Inc,1.07%,XLI
ODFL,Old Dominion Freight Line Inc,1.06%,XLI
CMI,Cummins Inc,1.01%,XLI
SWK,Stanley Black & Decker Inc,1.00%,XLI
CPRT,Copart Inc,1.00%,XLI
TDG,Transdigm Group Inc,0.97%,XLI
PCAR,Paccar Inc,0.96%,XLI
RSG,Republic Services,0.94%,XLI
FTV,Fortive Corp,0.87%,XLI
DOV,Dover Corp,0.80%,XLI
URI,United Rentals,0.79%,XLI
IR,Ingersoll Rand Inc,0.78%,XLI
LUV,Southwest Airlines Company,0.75%,XLI
EXPD,Expeditors Intl,0.74%,XLI
DAL,Delta Air Lines Inc,0.74%,XLI
GWW,W.W. Grainger,0.72%,XLI
GNRC,Generac Holdings Inc,0.71%,XLI
XYL,Xylem Inc,0.69%,XLI
IEX,Idex Corp,0.59%,XLI
J,Jacobs Engineering Group Inc,0.58%,XLI
MAS,Masco Corp,0.55%,XLI
WAB,Wabtec Corp,0.54%,XLI
TXT,Textron Inc,0.54%,XLI
JBHT,J B Hunt Transport,0.53%,XLI
PWR,Quanta Services,0.50%,XLI
FBHS,Fortune Brands Home & Security,0.47%,XLI
CHRW,C.H. Robinson Ww,0.44%,XLI
UAL,United Airlines Holdings Inc,0.42%,XLI
LDOS,Leidos Holdings Inc,0.41%,XLI
RHI,Robert Half International Inc,0.39%,XLI
PNR,Pentair Ltd,0.39%,XLI
ALLE,Allegion Plc,0.38%,XLI
SNA,Snap-On Inc,0.38%,XLI
HWM,Howmet Aerospace Inc,0.37%,XLI
AOS,Smith A.O. Corp,0.36%,XLI
AAL,American Airlines Gp,0.34%,XLI
HII,Huntington Ingalls Industries,0.24%,XLI
ROL,Rollins Inc,0.24%,XLI
NLSN,Nielsen Holdings Plc,0.23%,XLI
ALK,Alaska Air Group,0.20%,XLI
XLI,S&P 500 Industrial Sector SPDR,N/A,XLI
FB,Meta Platforms Inc,22.34%,XLC
GOOGL,Alphabet Cl A,13.33%,XLC
GOOG,Alphabet Cl C,12.51%,XLC
NFLX,Netflix Inc,4.88%,XLC
VZ,Verizon Communications Inc,4.81%,XLC
TMUS,T-Mobile US,4.56%,XLC
T,AT&T Inc,4.31%,XLC
CMCSA,Comcast Corp A,4.07%,XLC
DIS,Walt Disney Company,3.99%,XLC
CHTR,Charter Communicatio,3.97%,XLC
ATVI,Activision Blizzard,3.45%,XLC
EA,Electronic Arts Inc,2.65%,XLC
MTCH,Match Group Inc,2.48%,XLC
TWTR,Twitter Inc,2.47%,XLC
TTWO,Take-Two Interacti,1.45%,XLC
VIAC,Viacom CBS Cl B,1.30%,XLC
OMC,Omnicom Group Inc,1.14%,XLC
IPG,Interpublic Group of Companies,1.04%,XLC
LYV,Live Nation Entertainment,0.96%,XLC
LUMN,Centurylink,0.88%,XLC
FOXA,Fox Corp Cl A,0.86%,XLC
NWSA,News Cp Cl A,0.60%,XLC
DISH,Dish Network Corp,0.58%,XLC
DISCK,Discovery Comm Inc,0.49%,XLC
FOX,Fox Corp Cl B,0.37%,XLC
DISCA,Discovery Comm A,0.28%,XLC
NWS,News Cp Cl B,0.19%,XLC
XLC,S&P 500 Communication Sector SPDR,N/A,XLC
XOM,Exxon Mobil Corp,22.29%,XLE
CVX,Chevron Corp,21.45%,XLE
COP,Conocophillips,4.48%,XLE
EOG,Eog Resources,4.44%,XLE
SLB,Schlumberger N.V.,4.41%,XLE
PXD,Pioneer Natural Resources Company,4.27%,XLE
MPC,Marathon Petroleum Corp,4.25%,XLE
WMB,Williams Companies,3.37%,XLE
PSX,Phillips 66,3.30%,XLE
KMI,Kinder Morgan,3.28%,XLE
VLO,Valero Energy Corp,2.98%,XLE
OKE,Oneok Inc,2.76%,XLE
DVN,Devon Energy Corp,2.70%,XLE
OXY,Occidental Petroleum Corp,2.67%,XLE
HES,Hess Corp,2.21%,XLE
BKR,Baker Hughes A Ge Co. Cl A,2.13%,XLE
HAL,Halliburton Company,2.13%,XLE
FANG,Diamondback Energy,1.90%,XLE
CTRA,Coterra Energy Inc,1.73%,XLE
MRO,Marathon Oil Corp,1.29%,XLE
APA,Apa Corp,1.00%,XLE
XLE,S&P 500 Energy Sector SPDR,N/A,XLE
