name,size
XLE.EOG,100501
XLK.EPAM,927
XLK.EPAM,173310
XLK.EPAM,5810
XBI.EPZM,726547
XBI.EPZM,23312
XLRE.EQIX,661
XLRE.EQIX,95587
XLRE.EQIX,1609
XLRE.EQR,635
XLRE.EQR,351638
XLRE.EQR,4083
XLU.ES,116
XLU.ES,549406
XLU.ES,4912
XLRE.ESS,79996
XLRE.ESS,1097
XLI.ETN,831
XLI.ETN,517123
XLI.ETN,12229
XLU.ETR,173986
XLU.ETR,2665
XLY.ETSY,10917
XLY.ETSY,1026210
XLY.ETSY,164348
XRT.EVGO,2674
XRT.EVGO,901982
XRT.EVGO,266031
XLU.EVRG,541
XLU.EVRG,141061
XLU.EVRG,2844
XLV.EW,650
XLV.EW,950062
XLV.EW,48663
XBI.EXAS,6020
XBI.EXAS,829140
XBI.EXAS,80172
XLU.EXC,518
XLU.EXC,1663710
XLU.EXC,47519
XBI.EXEL,411083
XBI.EXEL,25901
XLI.EXPD,579
XLI.EXPD,299718
XLI.EXPD,2247
XLY.EXPE,3499
XLY.EXPE,1130923
XLY.EXPE,32288
XLRE.EXR,72
XLRE.EXR,161738
XLRE.EXR,2862
XRT.EYE,108
XRT.EYE,229252
XRT.EYE,3149
XLY.F,93918
XLY.F,40380489
XLY.F,10226935
XLE.FANG,14000
XLE.FANG,923529
XLE.FANG,149971
XLI.FAST,503
XLI.FAST,783262
XLI.FAST,20942
XBI.FATE,199902
XBI.FATE,7871
XLI.FBHS,98
XLI.FBHS,309647
XLI.FBHS,11674
XLB.FCX,23796
XLB.FCX,4798610
XLB.FCX,926351
XLI.FDX,2584
XLI.FDX,648999
XLI.FDX,60886
XLU.FE,850
XLU.FE,674877
XLU.FE,34344
XLK.FFIV,213
XLK.FFIV,89813
XLK.FFIV,4017
XBI.FGEN,63391
XBI.FGEN,1743
XLK.FIS,453
XLK.FIS,939455
XLK.FIS,12748
XLK.FISV,11393
XLK.FISV,590284
XLK.FISV,21207
XLF.FITB,607
XLF.FITB,829486
XLF.FITB,40468
XRT.FIVE,2055
XRT.FIVE,407453
XRT.FIVE,12642
XRT.FL,2759
XRT.FL,425823
XRT.FL,8841
XLK.FLT,60
XLK.FLT,102006
XLK.FLT,942
XRT.FLWS,84306
XRT.FLWS,6478
XLB.FMC,28
XLB.FMC,230721
XLB.FMC,4500
XBI.FMTX,96403
XBI.FMTX,11422
XBI.FOLD,615280
XBI.FOLD,22814
XLC.FOX,636
XLC.FOX,165798
XLC.FOX,20712
XLC.FOXA,2034
XLC.FOXA,751701
XLC.FOXA,11003
XLF.FRC,152
XLF.FRC,190763
XLF.FRC,2009
XRT.FRG,645
XRT.FRG,92147
XRT.FRG,12108
XLRE.FRT,604
XLRE.FRT,131040
XLRE.FRT,3203
XLK.FTNT,3116
XLK.FTNT,965053
XLK.FTNT,34499
XLI.FTV,146
XLI.FTV,1536386
XLI.FTV,13516
XBI.GBIO,35715
XBI.GBIO,1320
XBI.GBT,196
XBI.GBT,268727
XBI.GBT,686
XRT.GCO,900
XRT.GCO,79951
XRT.GCO,2649
XLI.GD,822
XLI.GD,336534
XLI.GD,9619
XLI.GE,2287
XLI.GE,3203445
XLI.GE,205063
XBI.GERN,516807
XBI.GERN,95198
XRT.GES,237
XRT.GES,77034
XRT.GES,665
XLV.GILD,4373
XLV.GILD,1386676
XLV.GILD,112169
XLP.GIS,1996
XLP.GIS,858012
XLP.GIS,83429
XLF.GL,765
XLF.GL,89293
XLF.GL,3076
XLK.GLW,1531
XLK.GLW,822167
XLK.GLW,50251
XLY.GM,6979
XLY.GM,3411656
XLY.GM,818384
XRT.GME,40060
XRT.GME,1435589
XRT.GME,303208
XLI.GNRC,2134
XLI.GNRC,184661
XLI.GNRC,13271
XRT.GO,2252
XRT.GO,278740
XRT.GO,7035
XLC.GOOG,38785
XLC.GOOG,5792950
XLC.GOOG,1287395
XLC.GOOGL,48607
XLC.GOOGL,7886980
XLC.GOOGL,1307226
XBI.GOSS,147552
XBI.GOSS,11079
XLY.GPC,747
XLY.GPC,197011
XLY.GPC,12318
XRT.GPI,60
XRT.GPI,42725
XRT.GPI,218
XLK.GPN,12207
XLK.GPN,1604505
XLK.GPN,124957
XLY.GPS,3911
XLY.GPS,1431753
XLY.GPS,84668
XLY.GRMN,963
XLY.GRMN,177766
XLY.GRMN,5200
XRT.GRPN,2026
XRT.GRPN,173969
XRT.GRPN,18249
XLF.GS,1259
XLF.GS,436827
XLF.GS,35907
XBI.GTHX,6463
XBI.GTHX,617964
XBI.GTHX,46418
XLI.GWW,906
XLI.GWW,133456
XLI.GWW,10047
XLE.HAL,8351
XLE.HAL,3243895
XLE.HAL,471943
XBI.HALO,5197
XBI.HALO,218053
XBI.HALO,20679
XLY.HAS,310
XLY.HAS,312431
XLY.HAS,9002
XLF.HBAN,552
XLF.HBAN,2692309
XLF.HBAN,352950
XLY.HBI,5719
XLY.HBI,1319682
XLY.HBI,80203
XLV.HCA,70
XLV.HCA,308091
XLV.HCA,4778
XLY.HD,4204
XLY.HD,1023551
XLY.HD,56871
XLE.HES,1143
XLE.HES,473973
XLE.HES,25136
XBI.HGEN,205
XBI.HGEN,5018410
XBI.HGEN,1068813
XRT.HIBB,1503
XRT.HIBB,101329
XRT.HIBB,3564
XLF.HIG,605
XLF.HIG,514413
XLF.HIG,40856
XLI.HII,30
XLI.HII,55417
XLI.HII,558
XLY.HLT,694
XLY.HLT,543260
XLY.HLT,9570
XLV.HOLX,392952
XLV.HOLX,6508
XLI.HON,339
XLI.HON,627474
XLI.HON,40071
XLK.HPE,1839
XLK.HPE,1806817
XLK.HPE,243951
XLK.HPQ,3146
XLK.HPQ,2186390
XLK.HPQ,63278
XLP.HRL,562
XLP.HRL,266807
XLP.HRL,13744
XBI.HRTX,189
XBI.HRTX,317708
XBI.HRTX,15327
XLV.HSIC,311943
XLV.HSIC,2450
XLRE.HST,1555
XLRE.HST,1126125
XLRE.HST,10260
XLP.HSY,782
XLP.HSY,204025
XLP.HSY,10884
XLV.HUM,613
XLV.HUM,400415
XLV.HUM,11945
XLI.HWM,959
XLI.HWM,1817309
XLI.HWM,46415
XBI.HZNP,15
XBI.HZNP,450518
XBI.HZNP,16498
XRT.HZO,2044
XRT.HZO,109202
XRT.HZO,3600
XLK.IBM,6066
XLK.IBM,1141892
XLK.IBM,123083
XBI.IBRX,471053
XBI.IBRX,110659
XLF.ICE,1095
XLF.ICE,555714
XLF.ICE,6873
XBI.ICPT,100
XBI.ICPT,177665
XBI.ICPT,6627
XLV.IDXX,596
XLV.IDXX,203439
XLV.IDXX,1333
XBI.IDYA,21454
XBI.IDYA,505
XLI.IEX,114
XLI.IEX,96192
XLI.IEX,479
XLB.IFF,418
XLB.IFF,179707
XLB.IFF,3941
XBI.IGMS,5
XBI.IGMS,51119
XBI.IGMS,1001
XLV.ILMN,602
XLV.ILMN,214535
XLV.ILMN,10789
XBI.IMGN,883778
XBI.IMGN,147999
XRT.IMKTA,263
XRT.IMKTA,31830
XRT.IMKTA,1040
XBI.IMVT,41087
XBI.IMVT,709
XLV.INCY,855
XLV.INCY,361112
XLV.INCY,6759
XBI.INO,1116
XBI.INO,1209337
XBI.INO,254062
XBI.INSM,700
XBI.INSM,493108
XBI.INSM,1147
XLK.INTC,142105
XLK.INTC,17938207
XLK.INTC,2286702
XLK.INTU,811
XLK.INTU,438570
XLK.INTU,11800
XBI.IONS,408
XBI.IONS,137752
XBI.IONS,8563
XBI.IOVA,1110
XBI.IOVA,449413
XBI.IOVA,25907
XLB.IP,914
XLB.IP,674766
XLB.IP,34226
XLC.IPG,680
XLC.IPG,539534
XLC.IPG,11840
XLK.IPGP,339
XLK.IPGP,115927
XLK.IPGP,2243
XLV.IQV,233
XLV.IQV,482992
XLV.IQV,4570
XLI.IR,724
XLI.IR,891142
XLI.IR,4695
XLRE.IRM,343
XLRE.IRM,724791
XLRE.IRM,16769
XBI.IRWD,1570071
XBI.IRWD,20381
XBI.ISEE,614840
XBI.ISEE,20414
XLV.ISRG,5904
XLV.ISRG,412617
XLV.ISRG,28435
XLK.IT,30
XLK.IT,165675
XLK.IT,1296
XLI.ITW,445
XLI.ITW,318816
XLI.ITW,6026
XLF.IVZ,1025917
XLF.IVZ,27907
XLI.J,2361
XLI.J,343236
XLI.J,38116
XLI.JBHT,160
XLI.JBHT,122611
XLI.JBHT,3490
XLI.JCI,1110
XLI.JCI,788776
XLI.JCI,12020
XLK.JKHY,349
XLK.JKHY,72238
XLK.JKHY,1852
XLV.JNJ,1412
XLV.JNJ,1314080
XLV.JNJ,83068
XLK.JNPR,293
XLK.JNPR,815837
XLK.JNPR,130189
XLF.JPM,43149
XLF.JPM,4418488
XLF.JPM,527634
XRT.JWN,2976
XRT.JWN,1079436
XRT.JWN,88201
XLP.K,2960
XLP.K,639075
XLP.K,25787
XBI.KALV,21587
XBI.KALV,33
XBI.KDNY,2571
XBI.KDNY,109853
XBI.KDNY,5189
XLF.KEY,9819
XLF.KEY,1616187
XLF.KEY,75956
XLK.KEYS,56
XLK.KEYS,156291
XLK.KEYS,8461
XLP.KHC,13155
XLP.KHC,1588134
XLP.KHC,104719
XLRE.KIM,774878
XLRE.KIM,8550
XLK.KLAC,806
XLK.KLAC,270401
XLK.KLAC,9935
XLP.KMB,1151
XLP.KMB,423464
XLP.KMB,14300
XLE.KMI,7750
XLE.KMI,4384046
XLE.KMI,590116
XLY.KMX,161
XLY.KMX,440373
XLY.KMX,18872
XBI.KNSA,52023
XBI.KNSA,7906
XLP.KO,4126
XLP.KO,2911800
XLP.KO,219637
XBI.KOD,497721
XBI.KOD,29769
XBI.KPTI,768315
XBI.KPTI,67033
XLP.KR,2662
XLP.KR,990459
XLP.KR,78417
XBI.KROS,23
XBI.KROS,167534
XBI.KROS,48
XBI.KRTX,416
XBI.KRTX,109213
XBI.KRTX,6626
XBI.KRYS,603
XBI.KRYS,50299
XBI.KRYS,357
XRT.KSS,2962
XRT.KSS,801299
XRT.KSS,141933
XBI.KURA,221470
XBI.KURA,2288
XBI.KYMR,160516
XBI.KYMR,776
XLF.L,1638
XLF.L,579046
XLF.L,25984
XRT.LAD,52090
XRT.LAD,1505
XBI.LCTX,117748
XBI.LCTX,28893
XLI.LDOS,226
XLI.LDOS,290312
XLI.LDOS,3249
XLY.LEG,412
XLY.LEG,510575
XLY.LEG,12903
XLY.LEN,1213
XLY.LEN,533067
XLY.LEN,18151
XRT.LESL,907526
XRT.LESL,14752
XBI.LGND,31
XBI.LGND,16782
XBI.LGND,565
XLV.LH,155
XLV.LH,189546
XLV.LH,2545
XLI.LHX,127
XLI.LHX,377125
XLI.LHX,6794
XLB.LIN,28
XLB.LIN,292740
XLB.LIN,4296
XLY.LKQ,438
XLY.LKQ,237696
XLY.LKQ,3078
XLV.LLY,1664
XLV.LLY,825814
XLV.LLY,51952
XLI.LMT,7220
XLI.LMT,455049
XLI.LMT,30691
XLF.LNC,160
XLF.LNC,226401
XLF.LNC,14614
XLU.LNT,1
XLU.LNT,229584
XLU.LNT,2794
XLY.LOW,1243
XLY.LOW,1014547
XLY.LOW,30594
XRT.LQDT,1937
XRT.LQDT,136879
XRT.LQDT,6802
XLK.LRCX,1183
XLK.LRCX,549896
XLK.LRCX,17804
XLC.LUMN,29209
XLC.LUMN,2875244
XLC.LUMN,230201
XLI.LUV,10646
XLI.LUV,1596789
XLI.LUV,340769
XLY.LVS,2899
XLY.LVS,1635633
XLY.LVS,155336
XLP.LW,521
XLP.LW,459958
XLP.LW,5518
XLB.LYB,816
XLB.LYB,761161
XLB.LYB,23092
XLC.LYV,597
XLC.LYV,369350
XLC.LYV,7787
XRT.M,8160
XRT.M,2337764
XRT.M,462580
XLK.MA,2610
XLK.MA,608694
XLK.MA,33298
XLRE.MAA,169
XLRE.MAA,220480
XLRE.MAA,4396
XLY.MAR,1586
XLY.MAR,579876
XLY.MAR,33482
